"Acer Iconia A3-A10","a3-a10"
"Lenovo Vibe B","a2016b30"
"Lenovo Vibe C","a2020a40"
"Lenovo Vibe C","lenovo a2020a40"
"Lenovo Vibe K4 Note","lenovo a7010a48"
"Lenovo Vibe K4 Note","a7010a48"
"Lenovo Vibe K5","a6020l36"
"Lenovo Vibe K5","lenovo a6020l36"
"Lenovo Vibe K5","lenovo a6020a40"
"Lenovo Vibe K5","a6020a41"
"Lenovo Vibe K5","a6020a40"
"Lenovo Vibe K5 Plus","a6020a46"
"Lenovo Vibe K5 Plus","lenovo a6020a46"
"Lenovo Vibe K6","k33b36"
"Lenovo Vibe K6","k33a48"
"Lenovo Vibe P1","p1a42"
"Lenovo Vibe P1m","lenovo p1ma40"
"Lenovo Vibe S1","s1a40"
"Lenovo Vibe Shot","z90a40"
"Lenovo Vibe X2","x2-eu"
"Lenovo X1030X","x1030x"
"Lenovo x240","x240"
"Lenovo Xt1650 Moto Z ","xt1650"
"Lenovo Yoga Tab 3","yt3-850f"
"Lenovo Yoga Tab 3","yt3-x50f"
"Lenovo YOGA TAB 3 Plus","yt-x703f"
"Lenovo Yoga Tablet 2","1050f"
"LeTV LeEco Le Max 2","le x820"
"LG Aristo","ms210"
"LG Aristo","m210"
"LG Aristo","lg-m210"
"LG Aristo 2","lm-x210(g)"
